Market Name,Outcome,Bet Price
Houston Astros - Alex Bregman Total Runs Scored,Under 91.5,-115
Houston Astros - Jose Altuve Total Hits,Over 152.5,-115
Houston Astros - Jose Altuve Total Hits,Under 152.5,-115
Houston Astros - Jose Altuve Total Home Runs,Over 24.5,-115
Houston Astros - Jose Altuve Total Home Runs,Under 24.5,-115
Houston Astros - Jose Altuve Total RBIs,Over 74.5,-115
Houston Astros - Jose Altuve Total RBIs,Under 74.5,-115
Houston Astros - Jose Altuve Total Runs Scored,Over 95.5,-115
Houston Astros - Jose Altuve Total Runs Scored,Under 95.5,-115
Houston Astros - Kyle Tucker Total Hits,Over 159.5,-115
Houston Astros - Kyle Tucker Total Hits,Under 159.5,-115
Houston Astros - Kyle Tucker Total Home Runs,Over 31.5,-115
Houston Astros - Kyle Tucker Total Home Runs,Under 31.5,-115
